user,name,url,license,stars,status
kriaoft,null,null,null,null,User not found
openlayers,openlayers,https://github.com/openlayers/openlayers,"BSD 2-Clause ""Simplified"" License",10104,null
react-dropzone,react-dropzone,https://github.com/react-dropzone/react-dropzone,MIT License,9710,null
sinonjs,sinon,https://github.com/sinonjs/sinon,Other,9339,null
frehos,null,null,null,null,User not found
DestinyItemManager,DIM,https://github.com/DestinyItemManager/DIM,MIT License,1917,null
openchemitry,null,null,null,null,User not found
faker-js,faker,https://github.com/faker-js/faker,Other,9697,null
lc-soft,LCUI,https://github.com/lc-soft/LCUI,MIT License,3962,null
techqueria,website,https://github.com/techqueria/website,MIT License,208,null
indieweb,indiewebify-me,https://github.com/indieweb/indiewebify-me,null,155,null
reactiveui,ReactiveUI,https://github.com/reactiveui/ReactiveUI,MIT License,7539,null
phalcon,cphalcon,https://github.com/phalcon/cphalcon,"BSD 3-Clause ""New"" or ""Revised"" License",10707,null
babel,babel,https://github.com/babel/babel,MIT License,42308,null
SixLabors,ImageSharp,https://github.com/SixLabors/ImageSharp,Other,6579,null
hexojs,hexo,https://github.com/hexojs/hexo,MIT License,36909,null
bower,bower,https://github.com/bower/bower,MIT License,15036,null
react-native-element,htmlview,https://github.com/react-native-element/htmlview,ISC License,0,null
CodeforSouth,fbi-api,https://github.com/CodeforSouth/fbi-api,MIT License,13,null
YOURLS,YOURLS,https://github.com/YOURLS/YOURLS,MIT License,9321,null
MvvmCross,MvvmCross,https://github.com/MvvmCross/MvvmCross,Microsoft Public License,3763,null
cssinjs,jss,https://github.com/cssinjs/jss,MIT License,6961,null
dhowe,AdNauseam,https://github.com/dhowe/AdNauseam,GNU General Public License v3.0,3632,null
socketio,socket.io,https://github.com/socketio/socket.io,MIT License,58441,null
parse-community,parse-server,https://github.com/parse-community/parse-server,Apache License 2.0,20289,null
cucumber,cucumber-ruby,https://github.com/cucumber/cucumber-ruby,MIT License,5151,null
storybookjs,storybook,https://github.com/storybookjs/storybook,MIT License,79132,null
pydatadelhi,talks,https://github.com/pydatadelhi/talks,null,44,null
nestjs,nest,https://github.com/nestjs/nest,MIT License,57459,null
securingsincity,react-ace,https://github.com/securingsincity/react-ace,MIT License,3796,null
javascript-obfuscator,javascript-obfuscator,https://github.com/javascript-obfuscator/javascript-obfuscator,"BSD 2-Clause ""Simplified"" License",11132,null
modularcode,modular-admin-html,https://github.com/modularcode/modular-admin-html,Other,2921,null
discordjs,discord.js,https://github.com/discordjs/discord.js,Apache License 2.0,23338,null
diegomura,react-pdf,https://github.com/diegomura/react-pdf,MIT License,12411,null
asciidocfx,AsciidocFX,https://github.com/asciidocfx/AsciidocFX,Apache License 2.0,1752,null
PokeAPI,pokeapi,https://github.com/PokeAPI/pokeapi,"BSD 3-Clause ""New"" or ""Revised"" License",3539,null
ass,null,null,null,null,null
kendraio,kendraio-app,https://github.com/kendraio/kendraio-app,MIT License,20,null
onevcat,Kingfisher,https://github.com/onevcat/Kingfisher,MIT License,21354,null
worldpeacenow,noplasticapp-app,https://github.com/worldpeacenow/noplasticapp-app,null,0,null
xmake-io,xmake,https://github.com/xmake-io/xmake,Apache License 2.0,7170,null
allure-framework,allure2,https://github.com/allure-framework/allure2,Apache License 2.0,3263,null
ngrx,platform,https://github.com/ngrx/platform,Other,7584,null
googlechrome,lighthouse,https://github.com/GoogleChrome/lighthouse,Apache License 2.0,26663,null
EFPrefix,EFQRCode,https://github.com/EFPrefix/EFQRCode,MIT License,4421,null
localstack,localstack,https://github.com/localstack/localstack,Other,47411,null
ifmeorg,ifme,https://github.com/ifmeorg/ifme,GNU Affero General Public License v3.0,1377,null
ahana,null,null,null,null,null
poooi,poi,https://github.com/poooi/poi,MIT License,1639,null
airbnb,javascript,https://github.com/airbnb/javascript,MIT License,134990,null
indraai,language-feecting,https://github.com/indraai/language-feecting,MIT License,16,null
AccelAI,AI-DL-Enthusiasts-Meetup,https://github.com/AccelAI/AI-DL-Enthusiasts-Meetup,MIT License,93,null
http4k,http4k,https://github.com/http4k/http4k,Apache License 2.0,2320,null
wpbp,WordPress-Plugin-Boilerplate-Powered,https://github.com/WPBP/WordPress-Plugin-Boilerplate-Powered,GNU General Public License v3.0,664,null
orchidsoftware,platform,https://github.com/orchidsoftware/platform,MIT License,3725,null
jscad,OpenJSCAD.org,https://github.com/jscad/OpenJSCAD.org,MIT License,2264,null
vuejs,vue,https://github.com/vuejs/vue,MIT License,204116,null
typeorm,typeorm,https://github.com/typeorm/typeorm,MIT License,31466,null
idyll-lang,idyll,https://github.com/idyll-lang/idyll,MIT License,1957,null
requarks,wiki,https://github.com/requarks/wiki,GNU Affero General Public License v3.0,21200,null
lets-blade,blade,https://github.com/lets-blade/blade,Apache License 2.0,5783,null
tosdr,tosdr.org,https://github.com/tosdr/tosdr.org,GNU Affero General Public License v3.0,451,null
Apollonyan,Developing-iOS-11-Apps-with-Swift,https://github.com/Apollonyan/Developing-iOS-11-Apps-with-Swift,Other,1235,null
ellie-app,ellie,https://github.com/ellie-app/ellie,"BSD 3-Clause ""New"" or ""Revised"" License",706,null
lesspass,lesspass,https://github.com/lesspass/lesspass,GNU General Public License v3.0,5486,null
buttercup,buttercup-desktop,https://github.com/buttercup/buttercup-desktop,GNU General Public License v3.0,4033,null
xuri,aurora,https://github.com/xuri/aurora,MIT License,577,null
facebook,react,https://github.com/facebook/react,MIT License,209133,null
openfl,openfl,https://github.com/openfl/openfl,MIT License,1779,null
visjs,vis-network,https://github.com/visjs/vis-network,Apache License 2.0,2527,null
LWJGL,lwjgl3,https://github.com/LWJGL/lwjgl3,"BSD 3-Clause ""New"" or ""Revised"" License",4264,null
kataras,iris,https://github.com/kataras/iris,"BSD 3-Clause ""New"" or ""Revised"" License",24050,null
tryghost,Ghost,https://github.com/TryGhost/Ghost,MIT License,43402,null
badges,shields,https://github.com/badges/shields,Creative Commons Zero v1.0 Universal,20174,null
apiato,apiato,https://github.com/apiato/apiato,MIT License,2843,null
bootstrap-vue,bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT License,14321,null
openemr,openemr,https://github.com/openemr/openemr,GNU General Public License v3.0,2278,null
laradock,laradock,https://github.com/laradock/laradock,MIT License,11859,null
material-theme,vsc-material-theme,https://github.com/material-theme/vsc-material-theme,Apache License 2.0,11077,null
ArchiveTeam,grab-site,https://github.com/ArchiveTeam/grab-site,Other,1030,null
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,Apache License 2.0,20654,null
remy,nodemon,https://github.com/remy/nodemon,MIT License,25292,null
spyder-ide,spyder,https://github.com/spyder-ide/spyder,MIT License,7646,null
vbauer,manet,https://github.com/vbauer/manet,MIT License,579,null
ActivityWatch,activitywatch,https://github.com/ActivityWatch/activitywatch,Mozilla Public License 2.0,8743,null
mybb,mybb,https://github.com/mybb/mybb,GNU Lesser General Public License v3.0,934,null
nathancahill,split,https://github.com/nathancahill/split,MIT License,5735,null
prima,prima,https://github.com/prima/prima,null,0,null
anticensority,runet-censorship-bypass,https://github.com/anticensority/runet-censorship-bypass,GNU General Public License v3.0,1174,null
codeforcience,null,null,null,null,User not found
verdaccio,verdaccio,https://github.com/verdaccio/verdaccio,MIT License,14872,null
dizitart,jbus,https://github.com/dizitart/jbus,Apache License 2.0,7,null
final-form,react-final-form,https://github.com/final-form/react-final-form,MIT License,7268,null
strapi,strapi,https://github.com/strapi/strapi,Other,54374,null
falconry,falcon,https://github.com/falconry/falcon,Apache License 2.0,9149,null
OpenSID,OpenSID,https://github.com/OpenSID/OpenSID,GNU General Public License v3.0,889,null
char0n,ramda-adjunct,https://github.com/char0n/ramda-adjunct,"BSD 3-Clause ""New"" or ""Revised"" License",670,null
Hexworks,zircon,https://github.com/Hexworks/zircon,Apache License 2.0,715,null
ccxt,ccxt,https://github.com/ccxt/ccxt,MIT License,28452,null
cboard-org,cboard,https://github.com/cboard-org/cboard,GNU General Public License v3.0,594,null
retejs,rete,https://github.com/retejs/rete,MIT License,8606,null
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,Creative Commons Zero v1.0 Universal,61353,null
Fody,Fody,https://github.com/Fody/Fody,MIT License,3999,null
Erxes,erxes,https://github.com/erxes/erxes,Other,2873,null
AutoSpotting,null,null,null,null,null
dat-ecoystem,null,null,null,null,User not found
rollup,rollup,https://github.com/rollup/rollup,Other,23579,null
wenzhixin,bootstrap-table,https://github.com/wenzhixin/bootstrap-table,MIT License,11527,null
denver-dev,bpoc_adlive-15_world_shopwebsite_onepiece,https://github.com/denver-dev/bpoc_adlive-15_world_shopwebsite_onepiece,null,0,null
altair-graphql,altair,https://github.com/altair-graphql/altair,null,4727,null
AzuraCast,AzuraCast,https://github.com/AzuraCast/AzuraCast,GNU Affero General Public License v3.0,2406,null
styleguidist,react-styleguidist,https://github.com/styleguidist/react-styleguidist,MIT License,10663,null
goreleaser,goreleaser,https://github.com/goreleaser/goreleaser,MIT License,11747,null
Level,levelup,https://github.com/Level/levelup,MIT License,4057,null
uerfrosting,null,null,null,null,User not found
docsifyjs,docsify,https://github.com/docsifyjs/docsify,MIT License,23693,null
CodeforFR,OpenCompaniesData,https://github.com/CodeforFR/OpenCompaniesData,MIT License,6,null
sbc,django-uploadify-s3,https://github.com/sbc/django-uploadify-s3,"BSD 3-Clause ""New"" or ""Revised"" License",59,null
mapeditor,tiled,https://github.com/mapeditor/tiled,Other,9690,null
mzlogin,awesome-adb,https://github.com/mzlogin/awesome-adb,MIT License,10181,null
accounts-js,accounts,https://github.com/accounts-js/accounts,MIT License,1463,null
arapis,null,null,null,null,null
arapisorg,null,null,null,null,User not found
culturebanked,null,null,null,null,null
t4t5,sweetalert,https://github.com/t4t5/sweetalert,MIT License,22265,null
