user,url,language,license,stars,status
https://github.com/goreleaser,https://github.com/goreleaser/goreleaser,Go,MIT License,11931,OK
https://github.com/level,https://github.com/Level/levelup,JavaScript,MIT License,4060,OK
https://github.com/docsifyjs,https://github.com/docsifyjs/docsify,JavaScript,MIT License,24062,OK
https://github.com/sbc,https://github.com/sbc/django-uploadify-s3,Python,"BSD 3-Clause ""New"" or ""Revised"" License",58,OK
https://github.com/redom,https://github.com/redom/redom,JavaScript,MIT License,3257,OK
https://github.com/chamilo,https://github.com/chamilo/chamilo-lms,PHP,GNU General Public License v3.0,695,OK
https://github.com/hoaproject,https://github.com/hoaproject/Ruler,PHP,null,624,OK
https://github.com/biojulia,https://github.com/BioJulia/Bio.jl,Julia,MIT License,256,OK
https://github.com/croogo,https://github.com/croogo/croogo,PHP,Other,821,OK
https://github.com/electron,https://github.com/electron/electron,C++,MIT License,108526,OK
https://github.com/thelounge,https://github.com/thelounge/thelounge,TypeScript,MIT License,5112,OK
https://github.com/darkreader,https://github.com/darkreader/darkreader,TypeScript,MIT License,17098,OK
https://github.com/celery,https://github.com/celery/celery,Python,Other,21962,OK
https://github.com/radarr,https://github.com/Radarr/Radarr,C#,GNU General Public License v3.0,7853,OK
https://github.com/weareopencoop,null,null,null,null,User not found
https://github.com/pact-foundation,https://github.com/pact-foundation/pact-ruby,Ruby,MIT License,2141,OK
https://github.com/dolibarr,https://github.com/Dolibarr/dolibarr,PHP,GNU General Public License v3.0,4217,OK
https://github.com/curl,https://github.com/curl/curl,C,Other,30819,OK
https://github.com/go-gitea,https://github.com/go-gitea/gitea,Go,MIT License,37784,OK
https://github.com/wechattweak-macos,null,null,null,null,User not found
https://github.com/getfider,https://github.com/getfider/fider,Go,GNU Affero General Public License v3.0,2356,OK
https://github.com/asciidoctor,https://github.com/asciidoctor/asciidoctor,Ruby,Other,4417,OK
https://github.com/rsuite,https://github.com/rsuite/rsuite,TypeScript,MIT License,7710,OK
https://github.com/foxhound87,https://github.com/foxhound87/mobx-react-form,TypeScript,MIT License,1081,OK
https://github.com/mallowigi,https://github.com/mallowigi/mtslack,SCSS,Apache License 2.0,485,OK
https://github.com/vanilla-rtb,https://github.com/vanilla-rtb/awesome-rtb,null,null,208,OK
https://github.com/openintents,https://github.com/openintents/filemanager,Java,Apache License 2.0,330,OK
https://github.com/avored,https://github.com/avored/laravel-ecommerce,TypeScript,null,1445,OK
https://github.com/marshmallow-code,https://github.com/marshmallow-code/marshmallow,Python,MIT License,6613,OK
https://github.com/moleculerjs,https://github.com/moleculerjs/moleculer,JavaScript,MIT License,5757,OK
https://github.com/ponylang,https://github.com/ponylang/ponyc,C,"BSD 2-Clause ""Simplified"" License",5463,OK
https://github.com/tabler,https://github.com/tabler/tabler,HTML,MIT License,34851,OK
https://github.com/jekyll,https://github.com/jekyll/jekyll,Ruby,MIT License,47052,OK
https://github.com/brainjs,https://github.com/BrainJS/brain.js,TypeScript,MIT License,13815,OK
https://github.com/ariakit,https://github.com/ariakit/ariakit,TypeScript,MIT License,7025,OK
https://github.com/mint-lang,https://github.com/mint-lang/mint,Crystal,"BSD 3-Clause ""New"" or ""Revised"" License",3897,OK
https://github.com/cheton,https://github.com/cheton/infinite-tree,JavaScript,MIT License,158,OK
https://github.com/peers,https://github.com/peers/peerjs,TypeScript,MIT License,11393,OK
https://github.com/opensourcediversity,https://github.com/opensourcediversity/opensourcediversity.org,HTML,GNU Affero General Public License v3.0,233,OK
https://github.com/db-migrate,https://github.com/db-migrate/node-db-migrate,JavaScript,Other,2272,OK
https://github.com/assemblyscript,https://github.com/AssemblyScript/assemblyscript,WebAssembly,Apache License 2.0,15772,OK
https://github.com/imiphp,https://github.com/imiphp/imi,PHP,Other,1073,OK
https://github.com/openchemitry,null,null,null,null,User not found
https://github.com/nwtime,https://github.com/nwtime/linuxptp,C,GNU General Public License v2.0,9,OK
https://github.com/pnpm,https://github.com/pnpm/pnpm,TypeScript,MIT License,24783,OK
https://github.com/neutralinojs,https://github.com/neutralinojs/neutralinojs,C++,Other,6837,OK
https://github.com/sous-chefs,https://github.com/sous-chefs/docker,Ruby,Apache License 2.0,1320,OK
https://github.com/dicordhooks,null,null,null,null,User not found
https://github.com/doctoolchain,https://github.com/docToolchain/docToolchain,Groovy,MIT License,634,OK
https://github.com/electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,TypeScript,MIT License,21659,OK
https://github.com/kblok,https://github.com/kblok/WhatsAppBot,C#,MIT License,32,OK
https://github.com/unifiedjs,https://github.com/unifiedjs/unified,JavaScript,MIT License,3936,OK
https://github.com/wslutilities,https://github.com/wslutilities/wslu,Shell,GNU General Public License v3.0,2873,OK
https://github.com/ng-alain,https://github.com/ng-alain/ng-alain,TypeScript,MIT License,4482,OK
https://github.com/-,https://github.com/-/test,null,null,5,OK
https://github.com/tech-conferences,https://github.com/tech-conferences/confs.tech,TypeScript,MIT License,1714,OK
https://github.com/midnight-lizard,https://github.com/Midnight-Lizard/Midnight-Lizard,TypeScript,MIT License,567,OK
https://github.com/tuist,https://github.com/tuist/tuist,Swift,MIT License,3538,OK
https://github.com/pre-commit,https://github.com/pre-commit/pre-commit,Python,MIT License,10727,OK
https://github.com/poliastro,https://github.com/poliastro/poliastro,Python,MIT License,765,OK
https://github.com/kivy,https://github.com/kivy/kivy,Python,MIT License,16134,OK
https://github.com/thpatch,https://github.com/thpatch/thcrap,C++,The Unlicense,460,OK
https://github.com/kitspace,https://github.com/kitspace/awesome-electronics,null,Creative Commons Zero v1.0 Universal,4902,OK
https://github.com/zxing-js,https://github.com/zxing-js/library,TypeScript,Apache License 2.0,2027,OK
https://github.com/nservicebuextensions,null,null,null,null,User not found
https://github.com/twbs,https://github.com/twbs/bootstrap,JavaScript,MIT License,164820,OK
https://github.com/gwtproject,https://github.com/gwtproject/gwt,Java,null,1418,OK
https://github.com/eslint,https://github.com/eslint/eslint,JavaScript,MIT License,23173,OK
https://github.com/jellyfin,https://github.com/jellyfin/jellyfin,C#,GNU General Public License v2.0,23848,OK
https://github.com/peermaps,https://github.com/peermaps/peermaps,JavaScript,Other,298,OK
https://github.com/miscord,https://github.com/miscord/miscord,TypeScript,MIT License,257,OK
https://github.com/nrepl,https://github.com/nrepl/nrepl,Clojure,null,686,OK
https://github.com/ipfs-search,https://github.com/ipfs-search/ipfs-search,Go,GNU Affero General Public License v3.0,804,OK
https://github.com/os-js,https://github.com/os-js/OS.js,JavaScript,Other,6347,OK
https://github.com/exercim,https://github.com/exercim/pdf-page-counter,Python,MIT License,0,OK
https://github.com/boot-clj,https://github.com/boot-clj/boot,Clojure,Eclipse Public License 1.0,1751,OK
https://github.com/hoplon,https://github.com/hoplon/hoplon,Clojure,Eclipse Public License 1.0,988,OK
https://github.com/libremesh,https://github.com/libremesh/lime-packages,Lua,GNU Affero General Public License v3.0,257,OK
https://github.com/prism-break,https://github.com/prism-break/prism-break,Pug,GNU General Public License v3.0,1259,OK
https://github.com/tastyigniter,https://github.com/tastyigniter/TastyIgniter,PHP,MIT License,2629,OK
https://github.com/obsproject,https://github.com/obsproject/obs-studio,C,GNU General Public License v2.0,49297,OK
https://github.com/jerverless,https://github.com/jerverless/jerverless,Java,MIT License,184,OK
https://github.com/chinachu,https://github.com/Chinachu/Chinachu,JavaScript,Other,566,OK
https://github.com/openfoodfacts,https://github.com/openfoodfacts/openfoodfacts-androidapp,Kotlin,Apache License 2.0,721,OK
https://github.com/hobby-kube,https://github.com/hobby-kube/guide,null,MIT License,5426,OK
https://github.com/yodaos-project,https://github.com/yodaos-project/yodaos,C,Apache License 2.0,1171,OK
https://github.com/ionide,https://github.com/ionide/ionide-vscode-fsharp,F#,MIT License,815,OK
https://github.com/unrise-choir,null,null,null,null,User not found
https://github.com/noppefoxwolf,https://github.com/noppefoxwolf/Kitsunebi,Swift,MIT License,253,OK
https://github.com/peachcloud,https://github.com/peachcloud/meta,null,null,35,OK
https://github.com/katzenpost,https://github.com/katzenpost/docs,TeX,Creative Commons Attribution Share Alike 4.0 International,53,OK
https://github.com/lucee,https://github.com/lucee/Lucee,Java,GNU Lesser General Public License v2.1,820,OK
https://github.com/majoulplus,null,null,null,null,User not found
https://github.com/swc-project,https://github.com/swc-project/swc,Rust,Apache License 2.0,28116,OK
https://github.com/anforaproject,https://github.com/anforaProject/anfora,Python,GNU Affero General Public License v3.0,219,OK
https://github.com/asyncapi,https://github.com/asyncapi/spec,null,Apache License 2.0,3265,OK
https://github.com/open-learning-common,null,null,null,null,User not found
https://github.com/yiisoft,https://github.com/yiisoft/yii2,PHP,"BSD 3-Clause ""New"" or ""Revised"" License",14119,OK
https://github.com/code-helter,null,null,null,null,User not found
https://github.com/ocafrica,null,null,null,null,User not found
https://github.com/opendevshop,https://github.com/opendevshop/devshop,PHP,GNU General Public License v2.0,165,OK
https://github.com/krisanawat,null,null,null,null,User not found
