repositoryUrl,status,ecosystem,registry_url,dependent_packages_count,dependent_repos_count,docker_dependents_count,docker_downloads_count,downloads,downloads_period,last_synced_at
https://github.com/kriasoft/react-firebase-starter,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/meteor/blaze,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/OpenTechFund/apply-app,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/rubocop/rubocop,OK,rubygems,https://rubygems.org/gems/rubocop,11643,115529,1310,1907988298,343744765,total,2023-08-06T01:59:15.763Z
https://github.com/qax-os/excelize,OK,go,https://pkg.go.dev/github.com/Qax-Os/excelize,0,0,null,null,null,null,2023-08-05T11:05:44.06Z
https://github.com/wallabag/wallabag,OK,packagist,https://packagist.org/packages/wallabag/wallabag#,0,4,null,null,2059,total,2023-08-05T11:05:46.56Z
https://github.com/LeanerCloud/AutoSpotting,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/kriasoft/react-app,OK,npm,https://www.npmjs.com/package/react-app,25,387,19,1472,23508,last-month,2023-08-05T01:38:41.151Z
https://github.com/dimatill/graphql-shield,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/Binaryify/OneDark-Pro,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/wojtekmaj/react-calendar,OK,npm,https://www.npmjs.com/package/react-calendar,291,12059,79,18553,1964632,last-month,2023-08-04T06:58:32.082Z
https://github.com/wojtekmaj/react-date-picker,OK,npm,https://www.npmjs.com/package/react-date-picker,178,4681,29,15188,621613,last-month,2023-08-04T17:10:39.406Z
https://github.com/OI-wiki/OI-wiki,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/statelyai/xstate,OK,npm,https://www.npmjs.com/package/xstate,685,107428,120,2546736,6041837,last-month,2023-08-06T00:42:18.755Z
https://github.com/staltz/manyverse,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/argos-ci/jest-puppeteer,OK,npm,https://www.npmjs.com/package/spawnd,17,17266,158,96766,2589958,last-month,2023-08-05T11:06:59.465Z
https://github.com/sshahine/JFoenix,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/s4n7h0/Halcyon-IDE,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/camelot-dev/excalibur,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/ant-design/ant-design-landing,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/meituan/lyrebird,OK,pypi,https://pypi.org/project/lyrebird/,3,9,null,null,1219,last-month,2023-07-28T08:11:53.963Z
https://github.com/razerdp/AnimatedPieView,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/mastodon/mastodon,OK,pypi,https://pypi.org/project/requestsss/,0,0,null,null,null,last-month,2023-08-05T11:08:53.973Z
https://github.com/spencerwooo/dowww,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/validatorjs/validator.js,OK,npm,https://www.npmjs.com/package/validator,5119,493728,5594,2085553057,38903046,last-month,2023-08-06T01:44:50.013Z
https://github.com/CannerCMS/cannercms,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/antonreshetov/mysigmail,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/doocs/leetcode,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/rampatra/photography,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/apache/groovy,OK,maven,https://repo.maven.apache.org/maven2/org/codehaus/groovy/groovy-all/,3407,36163,60,1587307,null,null,2023-08-06T06:46:29.717Z
https://github.com/witchcrafters/witchcraft,OK,hex,https://hex.pm/packages/witchcraft/,3,8,null,null,51692,total,2023-08-05T11:09:07.246Z
https://github.com/Bogdan-Lyashenko/codecrumbs,OK,npm,https://www.npmjs.com/package/codecrumbs,2,11,null,null,372,last-month,2023-08-03T20:44:53.122Z
https://github.com/flexn-io/renative,OK,npm,https://www.npmjs.com/package/rnv,9,13,null,null,18614,last-month,2023-08-05T11:09:25.836Z
https://github.com/ant-design/ant-design-mobile-rn,OK,npm,https://www.npmjs.com/package/@ant-design/react-native,49,912,null,null,9955,last-month,2023-08-05T06:06:38.779Z
https://github.com/thangchung/clean-code-dotnet,No lookups,null,null,null,null,null,null,null,null,null
