repositoryUrl,status,ecosystem,registry_url,dependent_packages_count,dependent_repos_count,docker_dependents_count,docker_downloads_count,downloads,downloads_period,last_synced_at
https://github.com/ng-matero/ng-matero,OK,npm,https://www.npmjs.com/package/ng-matero,1,30,null,null,3470,last-month,2023-10-02T10:31:05.743Z
https://github.com/ng-web-apis/intersection-observer,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/ngneat/falso,OK,npm,https://www.npmjs.com/package/@ngneat/falso,76,346,4,2654,537404,last-month,2023-10-01T18:00:38.278Z
https://github.com/ngrx/platform,OK,npm,https://www.npmjs.com/package/@ngrx/store,771,27686,31,5691,2346363,last-month,2023-10-02T05:40:19.959Z
https://github.com/ngxs/store,OK,npm,https://www.npmjs.com/package/@ngxs/store,70,1978,1,6,416451,last-month,2023-10-02T07:46:38.569Z
https://github.com/niccokunzmann/open-web-calendar,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/NickeManarin/ScreenToGif,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/nicklockwood/SwiftFormat,OK,cocoapods,https://cocoapods.org/pods/SwiftFormat,0,230,null,null,null,null,2023-10-02T10:45:56.292Z
https://github.com/nicolasparada/go-passwordless-demo,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/nightwatchjs/nightwatch,OK,npm,https://www.npmjs.com/package/nightwatch,3053,36492,103,162535473,751690,last-month,2023-10-01T15:43:44.649Z
https://github.com/niklasvh/html2canvas,OK,npm,https://www.npmjs.com/package/html2canvas,2132,30559,263,57706488,5964025,last-month,2023-10-02T07:43:30.466Z
https://github.com/nixcon/nixcon-video-infra,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/NLKNguyen/papercolor-theme,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/noble/noble,OK,go,https://pkg.go.dev/github.com/noble/noble,0,0,null,null,null,null,2023-10-02T09:05:07.394Z
https://github.com/noblox/noblox.js,OK,npm,https://www.npmjs.com/package/noblox.js,19,223,null,null,11115,last-month,2023-10-02T11:30:57.231Z
https://github.com/nock/nock,OK,npm,https://www.npmjs.com/package/nock,12278,130286,636,544201852,11462032,last-month,2023-10-02T07:43:13.934Z
