Id,Slug,Type,Name,OpenCollective,Twitter,CodeRepository,GitHubUser,GithubRepository,GitHubStatus,LocationCountry,IsFrozen,IsActive,CreatedAt,UpdatedAt,Budget,Currency
x8k03rey-d5agmq58-5yqlbwoz-7j4nxv9z,final-form,COLLECTIVE,Final Form,https://opencollective.com/final-form,https://twitter.com/erikras,https://github.com/final-form,https://github.com/final-form,,Has no repo URL,,false,true,2017-12-12T20:25:34.697Z,2020-03-28T05:11:11.981Z,815.55,USD
lk9mbw7y-48r3zq3y-4op0ej5l-avnodgx7,strapi,COLLECTIVE,Strapi,https://opencollective.com/strapi,https://twitter.com/strapijs,https://github.com/strapi/strapi,https://github.com/strapi,https://github.com/strapi/strapi,Repo found,France,false,true,2017-12-14T16:30:35.172Z,2022-03-17T23:44:20.246Z,516,USD
7ywz9j4a-vgod8pgj-y5pmr35n-xklb0e7a,falcon,COLLECTIVE,Falcon,https://opencollective.com/falcon,,https://github.com/falconry/falcon,https://github.com/falconry,https://github.com/falconry/falcon,Repo found,,false,true,2017-12-14T18:06:37.686Z,2020-03-28T05:11:08.972Z,708,USD
eejoxl3a-z45w9pag-rkpy870m-gkbrvdn8,opensid,COLLECTIVE,OpenSID,https://opencollective.com/opensid,https://twitter.com/eddieridwan,https://github.com/OpenSID/OpenSID,https://github.com/OpenSID,https://github.com/OpenSID/OpenSID,Repo found,Indonesia,false,true,2017-12-20T06:19:21.767Z,2021-02-01T07:56:09.187Z,56.01,USD
x8k03rey-d5agmq58-leqlbwoz-7j4nxv9z,ramda-adjunct,COLLECTIVE,ramda-adjunct,https://opencollective.com/ramda-adjunct,https://twitter.com/vladimirgorej,https://github.com/char0n/ramda-adjunct,https://github.com/char0n,https://github.com/char0n/ramda-adjunct,Repo found,,false,true,2017-12-20T16:31:45.619Z,2020-03-28T05:11:05.772Z,0,USD
eejoxl3a-z45w9pag-lkpy870m-gkbrvdn8,hexworks,COLLECTIVE,Hexworks,https://opencollective.com/hexworks,https://twitter.com/_hexworks,https://github.com/Hexworks,https://github.com/Hexworks,,Has no repo URL,,false,true,2017-12-20T18:58:28.744Z,2020-03-28T05:11:08.152Z,0,USD
k3z8arxv-eymko60m-3wqgl5nb-j9w704dv,ccxt,COLLECTIVE,CCXT,https://opencollective.com/ccxt,https://twitter.com/ccxt_official,https://github.com/ccxt/ccxt,https://github.com/ccxt,https://github.com/ccxt/ccxt,Repo found,,false,true,2017-12-22T05:12:04.071Z,2021-11-30T04:39:57.864Z,2184.95,USD
88rzownx-l9e50px3-zkpymvbd-gk7j43a9,cboard,COLLECTIVE,Cboard - Assistive Communication Board,https://opencollective.com/cboard,https://twitter.com/martinbedouret,https://github.com/cboard-org/cboard,https://github.com/cboard-org,https://github.com/cboard-org/cboard,Repo found,Argentina,false,true,2017-12-22T14:33:53.721Z,2021-10-05T18:27:02.926Z,148.2,USD
7mywxoz3-409rl6kz-e46venbd-j7gk85ag,rete,COLLECTIVE,Rete.js,https://opencollective.com/rete,,https://github.com/retejs,https://github.com/retejs,,Has no repo URL,Ukraine,false,true,2017-12-22T15:53:18.291Z,2023-04-02T14:21:20.761Z,126.76,USD
7ywz9j4a-vgod8pgj-zjpmr35n-xklb0e7a,awesome-mac,COLLECTIVE,Awesome Mac,https://opencollective.com/awesome-mac,,https://github.com/jaywcjlove/aweome-mac,https://github.com/jaywcjlove,,Repo not found,,false,true,2017-12-22T16:36:47.320Z,2021-07-31T15:06:42.095Z,0,USD
7ywz9j4a-vgod8pgj-j9pmr35n-xklb0e7a,fody,COLLECTIVE,Fody,https://opencollective.com/fody,https://twitter.com/FodyProject,https://github.com/Fody,https://github.com/Fody,,Has no repo URL,,false,true,2017-12-26T09:47:31.062Z,2021-01-23T19:25:45.827Z,7529.07,USD
